Produtos;Valor;valor parcelado
PlacadeVideoRTX4060TiOCEditionAsusTUFGamingNVIDIAGeForce8GBGDDR6ARGBDLSSTUFRTX4060TIO8GGAMING;2899.99;3411.7
PlacadeVideoRTX40608GV2GamingATSOCASUSNVIDIAGeForce8GBGDDR6DLSSRayTracingGSync90YV0JM2M0NA00;2199.99;2588.2
PlacadeVideoRTX30601ClickOCGalaxNVIDIAGeForce12GBGDDR6LHRDLSSRayTracing36NOL7MD1VOC;1639.99;1929.4
PlacadeVideoRX66008GV3DualASUSAMDRadeon8GBGDDR690YV0GP3M0NA00;1299.99;1529.4
PlacadeVideoRX6750XTGamingXFXGraphicsCardAMDRadeon12GBGDDR6RaytracingFidelityFXRX675TMBAF9;2099.99;2470.5
PlacadeVideoRTX40601ClickOC2XTecLabLiteGALAXNVIDIAGeForce8GBGDDR6GSYNCDLSSRayTracing;1899.99;2235.2
PlacadeVideoRX6650XTXFXSpeedsterSWFT210AMDRadeon8GBGDDR6HDMI3xDP2FANRX665X8DFDY;1509.99;1776.4
PlacadeVideoRX6600CLD8GASRockAMDRadeon8GBGDDR690GA2RZZ00UANF;1299.99;1529.4
PlacadeVideoRTX4060VENTUS2xBlackOCMSINVIDIAGeForce8GBGDDR6DLSSRayTracing;1999.99;2325.5
PlacadeVideoRX6600XFXCoreGamingSpeedsterSWFT210AMDRadeonGraphicsCard8GBGDDR6AMDRDNA2RX66XL8LFDQ;1289.99;1517.6
PlacadeVideoRTX4060Infinity2PalitNVIDIAGeForce8GBGDDR6DLSSRayTracingGSyncNE64060019P11070L;1899.99;2235.2
PlacadeVideoRTX4060TIVentus2XBlack8GOCMSINVIDIAGeForce8GBGDDR6DLSSRayTracingGSync;2569.99;3023.5
PlacadeVideoRTX3050WindforceOCGigabyteNVIDIAGeForce6GBGDDR6DLSSRayTracingGVN3050WF2OC6GD;1299.99;1529.4
PlacadeVideoRTX3060PalitNVIDIAGeForce12GBGDDR6RGBDLSSGSyncRayTracingNE63060019K9190AD;1659.99;1952.9
PlacadeVideoRX570PhantomGamingEliteASRockAMDRadeon8GBGDDR5HDRFreeSync90GA2PZZ00UANF;899.99;1058.8
PlacadeVideoRTX3060Ventus2XMSINVIDIAGeForce12GBGDDR6DLSSRayTracingRTX3060Ventus2X12GOC;1599.99;1777.7
PlacaDeVideoGalaxGeforceRTX40608GB1ClickOcV2GDDR6128Bit46nsl8md9nxv;2329.99;2329.9
PlacadeVideoMSIRTX3050Ventus2XXSOCNVIDIAGeForce8GBGDDR6912V8094266;1429.99;1624.9
PlacadeVideoRTX4060TiVENTUS3X8GOCMSINVIDIAGeForce8GBGDDR6DLSSRayTracing;2649.99;3117.6
PlacadeVideoRTX4060EAGLEOCGigabyteNVIDIAGeForce8GBGDDR6DLSSRayTracingGVN4060EAGLEOC8GD;2299.99;2705.8
PlacadeVideoRTX4060AEROOCGigabyteNVIDIAGeForce8GBGDDR6RGBDLSSRayTracingBrancoGVN4060AEROOC8GD;2199.99;2588.2
PlacadeVideoRX7600GAMINGOC8GAMDRadeonGigabyte8GBGDDR6128bitsRGBGVR76GAMINGOC8GD;1698.99;1998.8
PlacadeVideoRTX4060TIXLR8GamingVertoEpicxPNYNVIDIAGeForce8GBGDDR6ARGBDLSSRayTracingGSyncVCG4060T8TFXXPB1;2699.99;3176.4
PlacadeVideoRTX4060TiEagleOCGigabyteNVIDIAGeForce8GBGDDR6DLSSRayTracingGVN406TEAGLEOC8GDG10;2799.99;3294.1
PlacaDeVideoMsiRTX4060Ventus2xOcBlackNvidiaGeForce8GBGDDR6912V516012;2142.92;2255.7
PlacaDeVideoRTX4060TIVentus2xOcMSINvidia8GBRAMGDDR6912V515024;2719.9;2719.9
PlacadeVideoGigabyteRadeonRX6600EAGLEAMD8GBGDDR6PretoGVR66EAGLE8GD;1459.99;1697.6
PlacadeVideoRTX4060TIPNYNVIDIAGeForceVertoDualFan16GBGDDR6DLSSRayTracingGSyncVCG4060T16DFXPB1;2999.99;3529.4
PlacadevideoRTX3050EXGalaxNVIDIAGeForce6GBGDDR6DLSSRayTracingGSync5272000119;1159.99;1364.6
PlacadeVideoRTX4060DualOC8GWhiteNVIDIAGeForce8GBGDDR6DLSSRayTracingGSync90YV0JC2M0NA00;2199.99;2588.2
PlacadeVideoGTX1650D6VentusXSOCV3MSINVIDIAGeForce4GBGDDR6GSync912V812003;849.99;988.3
PlacadeVideoRX7600OCASUSAMDDualRadeon8GBGDDR690YV0IH2M0NA00;1799.99;2117.6
PlacadevideoRTX4060ASUSDual8GEVOOCNVIDIAGeForce8GBGDDR6GSYNCRayTracing90YV0JC7M0NA00;2098.99;2440.6
